Ring no,Group Name,Species Name,Gender,Cage,Aviary Name,Proven,Actual Weight
JFS207,Macaw,Blue and Gold Macaw,Female,S09,Solai,Non proven,
GF01,Macaw,GREEN WING MACAW,Male,S10,Solai,Non proven,
M01,Macaw,GREEN WING MACAW,Female,S10,Solai,Non proven,
NB125NT2,Macaw,Blue and Gold Macaw,Male,S11,Solai,Non proven,
JFS218,Macaw,Blue and Gold Macaw,Female,S11,Solai,Non proven,
JFS221,Macaw,Blue and Gold Macaw,Female,S12,Solai,Non proven,
JP416,Macaw,Blue and Gold Macaw,Male,S12,Solai,Non proven,
 LA 414,Macaw,Scarlet Macaw,Female,S14,Solai,Non proven,
LFC 3,Macaw,Scarlet Macaw,Male,S14,Solai,Non proven,
,Macaw,GREEN WING MACAW,,T01,Thenral,Proven,
,Macaw,GREEN WING MACAW,,T01,Thenral,Proven,
No ring(GFO 039),Macaw,Scarlet Macaw,Male,T02,Thenral,Non proven,
13(VJ013),Macaw,Scarlet Macaw,Female,T02,Thenral,Non proven,
CY 435,Macaw,Scarlet Macaw,Female,T03,Thenral,Proven,
LH M 22,Macaw,Scarlet Macaw,,T03,Thenral,Proven,
FF A 401(EFA401),Macaw,Scarlet Macaw,,T04,Thenral,Proven,
019(SAT 8019),Macaw,Scarlet Macaw,,T04,Thenral,Proven,
OO32,Macaw,Scarlet Macaw,Male,T05,Thenral,Proven,
OO38,Macaw,Scarlet Macaw,Female,T05,Thenral,Proven,
022,Macaw,Blue and Gold Macaw,Male,T06,Thenral,Proven,
CKR 0083,Macaw,Blue and Gold Macaw,Female,T06,Thenral,Proven,
JP404,Macaw,Blue and Gold Macaw,Female,T07,Thenral,Proven,
JFS210,Macaw,Blue and Gold Macaw,Male,T07,Thenral,Proven,
CKR 24,Macaw,Blue and Gold Macaw,Female,T08,Thenral,Proven,
CKR 20,Macaw,Blue and Gold Macaw,Male,T08,Thenral,Proven,
,Macaw,Blue and Gold Macaw,,T09,Thenral,Proven,
,Macaw,Blue and Gold Macaw,,T09,Thenral,Proven,
JFS201,Macaw,Blue and Gold Macaw,Male,T10,Thenral,Non proven,
CKR 23,Macaw,Blue and Gold Macaw,Female,T10,Thenral,Non proven,
JFS208,Macaw,Blue and Gold Macaw,Male,T11,Thenral,Proven,
JFS223,Macaw,Blue and Gold Macaw,Female,T11,Thenral,Proven,
CKR 26/28,Cockatoo,Triton Cockatoo,Male,V09,Vasantham,Non proven,
CKR A 019,Cockatoo,Triton Cockatoo,Female,V09,Vasantham,Non proven,
,Cockatoo,Mollucan Cockatoo,Male,V01,Vasantham,Proven,
PABW 052,Cockatoo,Mollucan Cockatoo,Female,V01,Vasantham,Proven,
PABW 001,Cockatoo,Mollucan Cockatoo,Male,V02,Vasantham,Proven,
PABW 036,Cockatoo,Mollucan Cockatoo,Female,V02,Vasantham,Proven,
167,Cockatoo,Goffin Cockatoo,Male,V03,Vasantham,Proven,
175,Cockatoo,Goffin Cockatoo,Female,V03,Vasantham,Proven,
141,Cockatoo,Goffin Cockatoo,Male,V04,Vasantham,Non proven,
157,Cockatoo,Goffin Cockatoo,Female,V04,Vasantham,Non proven,
CKR 0002,Cockatoo,Medium Sulphur Cockatoo,Female,V05,Vasantham,Proven,
CKR 03,Cockatoo,Medium Sulphur Cockatoo,Male,V05,Vasantham,Proven,
CKR A023,Cockatoo,Triton Cockatoo,Female,V06,Vasantham,Proven,
CKR A 044,Cockatoo,Triton Cockatoo,Male,V06,Vasantham,Proven,
No Ring,Cockatoo,Triton Cockatoo,Male,V07,Vasantham,Non proven,
CKR A 042,Cockatoo,Triton Cockatoo,Female,V07,Vasantham,Non proven,
CKR A 025,Cockatoo,Triton Cockatoo,Female,V08,Vasantham,Proven,
CKR A 013,Cockatoo,Triton Cockatoo,Male,V08,Vasantham,Proven,
CKR C 006,Cockatoo,Umbrella Cockatoo,Male,V10,Vasantham,Proven,
No Ring,Cockatoo,Umbrella Cockatoo,Female,V10,Vasantham,Proven,
CKR A 041,Cockatoo,Triton Cockatoo,Female,V11,Vasantham,Proven,
CKR A 020,Cockatoo,Triton Cockatoo,Male,V11,Vasantham,Proven,
CKR 10,Cockatoo,Umbrella Cockatoo,Female,V12,Vasantham,Proven,
No Ring,Cockatoo,Umbrella Cockatoo,Male,V12,Vasantham,Proven,
CKR 13,Cockatoo,Umbrella Cockatoo,Female,V13,Vasantham,Proven,
No Ring,Cockatoo,Umbrella Cockatoo,Male,V13,Vasantham,Proven,
CKR A 009,Cockatoo,Triton Cockatoo,Male,V14,Vasantham,Proven,
CKR A 022,Cockatoo,Triton Cockatoo,Female,V14,Vasantham,Proven,
PABW 053,Cockatoo,Mollucan Cockatoo,Female,V15,Vasantham,Proven,
CKR 0074,Cockatoo,Mollucan Cockatoo,Male,V15,Vasantham,Proven,
CKR A 036,Cockatoo,Medium Sulphur Cockatoo,Female,V16,Vasantham,Proven,
CKR A 030,Cockatoo,Medium Sulphur Cockatoo,Male,V16,Vasantham,Proven,
CKR A 289,Cockatoo,Medium Sulphur Cockatoo,Female,V17,Vasantham,Non proven,
CKR C 444,Cockatoo,Medium Sulphur Cockatoo,Male,V17,Vasantham,Non proven,
CKR A 029,Cockatoo,Medium Sulphur Cockatoo,Female,V18,Vasantham,Non proven,
CKR A 035,Cockatoo,Medium Sulphur Cockatoo,Male,V18,Vasantham,Non proven,
PABW 072,Cockatoo,Mollucan Cockatoo,Male,V19,Vasantham,Proven,
PABW 038,Cockatoo,Mollucan Cockatoo,Female,V19,Vasantham,Proven,
CKR A 045,Cockatoo,Triton Cockatoo,Male,V20,Vasantham,Non proven,
CKR A 012,Cockatoo,Triton Cockatoo,Female,V20,Vasantham,Non proven,
CKR 0003,Cockatoo,Umbrella Cockatoo,Female,V21,Vasantham,Proven,
No Ring,Cockatoo,Umbrella Cockatoo,Male,V21,Vasantham,Proven,
